TF	DF	WORD
18079	4418	wa
11877	4533	room
10451	4277	hotel
6823	3486	thi
6187	3524	stay
4111	2433	veri
3896	2538	great
3242	2183	nice
3119	1974	get
3096	2444	locat
2997	1986	one
2981	1970	like
2906	1966	place
2816	1931	would
2666	1901	chicago
2654	1829	night
2619	1825	servic
2503	2032	staff
2483	1703	time
2476	1787	bed
2334	1676	good
2137	1509	realli
2043	1483	go
1903	1473	onli
1849	1073	us
1843	1388	also
1741	1317	view
1738	1329	even
1727	1331	bathroom
1660	1114	check
1655	1168	floor
1648	1194	day
1638	1211	got
1637	1258	walk
1635	1348	clean
1623	1240	lobbi
1577	1161	bar
1574	1139	didnt
1568	1198	look
1525	1014	park
1509	1159	could
1486	1088	free
1453	1065	becaus
1450	1079	love
1448	1051	desk
1393	1116	small
1379	1069	want
1376	1089	back
1341	1078	well
1316	979	front
1315	1094	price
1289	1044	ha
1286	970	dont
1243	992	littl
1241	916	work
1230	949	thing
1229	918	use
1226	903	two
1224	874	im
1222	995	right
1210	1064	comfort
1195	1011	help
1189	1090	friendli
1189	952	need
1173	985	much
1168	897	area
1161	907	peopl
1157	756	call
1154	977	restaur
1146	924	make
1124	803	door
1097	830	pretti
1047	764	star
1024	780	breakfast
1022	843	next
1013	813	citi
1012	827	first
1006	697	elev
996	697	shower
981	720	2
968	811	think
948	802	come
943	741	food
926	783	around
923	721	ask
922	717	book
915	769	way
914	769	close
904	768	say
902	804	definit
897	615	suit
892	421	wed
887	774	everyth
875	716	feel
873	740	ani
873	710	busi
870	720	take
863	676	know
859	732	lot
848	714	experi
840	698	though
838	691	never
820	665	ive
815	682	better
812	710	best
808	680	tri
807	719	decor
803	683	downtown
795	626	block
784	687	michigan
781	585	minut
781	555	guest
779	651	made
773	675	away
773	643	tv
771	718	recommend
770	667	see
770	618	old
769	644	bit
765	649	expect
764	632	beauti
763	623	hour
761	613	review
759	530	charg
755	651	everi
751	591	drink
745	611	pay
742	622	wasnt
738	571	water
733	623	big
730	613	befor
718	609	went
716	617	sure
713	589	weekend
711	613	street
699	602	give
693	564	rate
682	596	still
682	512	friend
681	512	said
679	566	seem
678	525	internet
675	569	3
669	567	morn
664	582	mani
662	585	find
662	507	wait
659	546	sinc
639	565	enjoy
632	533	amaz
631	532	anoth
630	544	deal
627	539	ever
624	567	modern
624	518	open
623	540	bad
618	521	alway
615	544	cant
608	511	size
607	467	line
606	534	enough
604	350	w
600	547	shop
599	548	overal
599	514	wifi
595	427	coffe
593	511	took
592	503	build
586	503	actual
584	495	4
581	483	5
574	513	last
574	490	offer
570	468	new
569	495	howev
569	407	told
562	479	wall
552	472	came
546	468	id
545	460	person
541	461	visit
538	445	arriv
521	452	super
515	458	end
515	453	huge
512	433	larg
507	436	sleep
506	441	window
504	438	quit
502	423	year
502	416	travel
501	462	mile
498	447	wonder
497	440	perfect
497	387	space
495	426	awesom
495	375	manag
494	360	reserv
491	433	someth
491	426	found
489	432	cool
486	406	put
486	359	pool
485	434	reason
482	417	dure
482	409	concierg
480	378	valet
477	430	across
476	418	long
471	364	1
469	422	noth
464	363	river
461	414	excel
456	392	side
455	410	thought
455	384	let
452	371	problem
443	367	center
442	406	top
440	323	car
439	382	kind
435	388	anyth
433	367	king
428	370	live
427	356	upgrad
422	406	distanc
421	367	coupl
419	393	conveni
419	359	point
416	379	probabl
416	377	trip
414	380	decent
413	351	lake
412	342	light
410	376	outsid
409	327	order
402	323	left
401	363	town
398	365	part
398	354	includ
397	348	abl
397	339	someon
394	361	within
394	346	felt
393	353	impress
391	378	comfi
391	378	spaciou
391	346	full
391	341	amen
391	286	parti
388	346	whi
387	342	etc
387	257	confer
384	346	plu
384	311	hot
382	331	hear
381	301	hous
380	331	turn
377	335	extra
377	325	loung
376	346	everyon
375	310	hard
374	328	differ
372	346	ave
372	345	worth
371	318	money
370	324	although
367	338	high
367	331	extrem
366	297	custom
365	326	corner
365	305	cab
365	278	gym
362	337	without
361	315	fine
359	324	gave
357	315	happi
357	288	nois
356	331	expens
354	249	hilton
353	319	week
353	306	fantast
353	300	pillow
352	318	leav
352	291	guy
351	310	set
345	316	els
345	314	start
345	288	home
345	276	issu
344	321	especi
344	304	easi
342	314	couldnt
341	321	far
340	300	late
339	275	access
337	304	10
337	242	event
336	300	care
335	276	per
334	279	request
333	311	almost
333	306	keep
333	291	head
329	304	second
329	275	avenu
326	305	wouldnt
326	278	tini
325	275	three
325	273	tell
324	287	paid
324	278	avail
322	292	least
321	290	return
321	283	onc
320	285	ok
318	270	ye
318	236	meet
316	289	thank
316	217	card
315	267	dinner
313	287	either
313	279	fit
310	288	run
310	285	oh
310	275	special
309	281	complaint
309	275	stop
309	232	recept
307	266	mayb
307	242	bottl
307	242	wine
306	277	disappoint
306	220	club
305	275	earli
304	258	checkin
303	273	fact
302	262	train
302	250	phone
301	257	plan
300	267	mean
299	285	near
298	250	move
297	287	recent
296	271	eat
296	269	less
296	242	final
293	267	isnt
293	241	towel
292	263	standard
292	247	provid
291	270	may
291	233	smell
290	274	magnific
289	266	absolut
289	258	decid
287	271	whole
287	263	might
287	260	fun
286	265	surpris
285	255	chang
285	243	name
284	256	total
283	259	usual
283	232	tower
281	254	sever
281	240	complet
281	221	pricelin
280	253	option
277	259	short
277	232	famili
276	248	show
275	242	given
275	204	bag
275	200	key
274	261	accommod
274	250	entir
274	220	inn
273	254	spend
273	253	instead
273	244	mention
271	236	hallway
270	213	hi
269	234	later
269	231	complimentari
268	250	doesnt
267	235	cost
267	221	housekeep
266	239	plenti
263	237	renov
259	232	sit
